customer_id,recency,frequency,monetary,R,F,M,RFM_score,segment,cluster,marketing_channel
CUST00080,228,3,269.96000000000004,1,1,2,4,At Risk,0,Paid Search
CUST00081,329,2,61.79,1,1,1,3,Hibernating,0,Social Media
CUST00082,34,7,1095.4099999999999,3,4,4,11,Champions,2,Organic Search
CUST00083,5,5,639.38,4,3,3,10,Champions,1,Paid Search
CUST00084,247,6,323.7,1,3,2,6,Potential Loyalists,0,Organic Search
CUST00085,119,4,315.45000000000005,2,2,2,6,Potential Loyalists,3,Paid Search
CUST00086,25,6,1445.42,3,3,4,10,Champions,2,Direct
CUST00087,126,7,1475.98,2,4,4,10,Champions,2,Paid Search
CUST00088,41,3,206.53000000000003,3,1,1,5,At Risk,3,Email
CUST00089,9,8,408.85,4,4,2,10,Champions,1,Social Media
CUST00090,58,4,665.68,2,2,3,7,Potential Loyalists,1,Paid Search
CUST00091,21,5,1075.44,4,3,4,11,Champions,2,Direct
CUST00092,27,7,408.47,3,4,2,9,Loyal Customers,1,Referral
CUST00093,78,4,408.71000000000004,2,2,2,6,Potential Loyalists,3,Email
CUST00094,36,2,208.84,3,1,1,5,At Risk,3,Paid Search
CUST00095,35,3,281.51,3,1,2,6,Potential Loyalists,3,Paid Search
CUST00096,6,4,150.98000000000002,4,2,1,7,Potential Loyalists,3,Organic Search
CUST00097,28,5,369.26,3,3,2,8,Loyal Customers,1,Social Media
CUST00098,75,3,184.7,2,1,1,4,At Risk,3,Paid Search
CUST00099,365,3,323.6,1,1,2,4,At Risk,0,Direct
CUST00100,97,8,471.68,2,4,3,9,Loyal Customers,1,Direct
CUST00101,53,2,360.03,3,1,2,6,Potential Loyalists,3,Direct
CUST00102,104,1,249.64,2,1,2,5,At Risk,3,Organic Search
CUST00103,68,6,904.24,2,3,4,9,Loyal Customers,2,Paid Search
CUST00104,59,5,335.81,2,3,2,7,Potential Loyalists,1,Social Media
CUST00105,11,7,815.53,4,4,4,12,Champions,2,Paid Search
CUST00106,424,4,347.63,1,2,2,5,At Risk,0,Email
CUST00107,89,3,239.28,2,1,1,4,At Risk,3,Organic Search
CUST00108,402,2,589.25,1,1,3,5,At Risk,0,Social Media
CUST00109,195,5,736.27,1,3,4,8,Loyal Customers,1,Organic Search
CUST00110,201,8,614.55,1,4,3,8,Loyal Customers,1,Social Media
CUST00111,2,3,230.66,4,1,1,6,Potential Loyalists,3,Direct
CUST00112,27,4,480.84999999999997,3,2,3,8,Loyal Customers,1,Referral
CUST00113,12,3,297.28999999999996,4,1,2,7,Potential Loyalists,3,Social Media
CUST00114,34,3,355.01,3,1,2,6,Potential Loyalists,3,Paid Search
CUST00115,362,1,12.92,1,1,1,3,Hibernating,0,Social Media
CUST00116,28,4,282.34,3,2,2,7,Potential Loyalists,3,Email
CUST00117,49,5,710.6099999999999,3,3,4,10,Champions,1,Email
CUST00119,49,8,571.6800000000001,3,4,3,10,Champions,1,Organic Search
CUST00120,287,5,684.4300000000001,1,3,4,8,Loyal Customers,0,Direct
CUST00121,28,3,348.95000000000005,3,1,2,6,Potential Loyalists,3,Organic Search
CUST00122,88,4,479.71000000000004,2,2,3,7,Potential Loyalists,1,Social Media
CUST00123,58,6,1513.31,2,3,4,9,Loyal Customers,2,Organic Search
CUST00124,218,1,236.54,1,1,1,3,Hibernating,0,Email
CUST00125,12,8,540.16,4,4,3,11,Champions,1,Direct
CUST00126,42,6,560.1600000000001,3,3,3,9,Loyal Customers,1,Social Media
CUST00127,10,6,514.72,4,3,3,10,Champions,1,Email
CUST00128,12,11,880.98,4,4,4,12,Champions,2,Referral
CUST00129,22,3,173.35000000000002,4,1,1,6,Potential Loyalists,3,Social Media
CUST00130,282,2,348.43,1,1,2,4,At Risk,0,Organic Search
CUST00131,105,2,74.67,2,1,1,4,At Risk,3,Social Media
CUST00132,5,7,361.71,4,4,2,10,Champions,1,Social Media
CUST00133,364,4,336.86,1,2,2,5,At Risk,0,Paid Search
CUST00134,284,2,304.87,1,1,2,4,At Risk,0,Paid Search
CUST00135,39,5,511.86,3,3,3,9,Loyal Customers,1,Organic Search
CUST00136,276,4,788.0799999999999,1,2,4,7,Potential Loyalists,0,Email
CUST00137,279,5,427.79999999999995,1,3,3,7,Potential Loyalists,0,Social Media
CUST00138,67,4,496.35,2,2,3,7,Potential Loyalists,1,Organic Search
CUST00139,288,1,189.04,1,1,1,3,Hibernating,0,Organic Search
CUST00140,443,1,112.54,1,1,1,3,Hibernating,0,Paid Search
CUST00141,42,4,204.24,3,2,1,6,Potential Loyalists,3,Organic Search
CUST00142,119,2,397.58,2,1,2,5,At Risk,3,Direct
CUST00143,55,5,850.56,2,3,4,9,Loyal Customers,1,Paid Search
CUST00144,8,8,1111.8600000000001,4,4,4,12,Champions,2,Email
CUST00145,92,5,792.75,2,3,4,9,Loyal Customers,1,Organic Search
CUST00146,54,6,953.49,2,3,4,9,Loyal Customers,2,Organic Search
CUST00147,57,2,129.78,2,1,1,4,At Risk,3,Email
CUST00148,39,6,710.7499999999999,3,3,4,10,Champions,1,Paid Search
CUST00149,71,4,192.48,2,2,1,5,At Risk,3,Social Media
CUST00150,13,5,356.17,4,3,2,9,Loyal Customers,1,Social Media
CUST00151,35,6,681.13,3,3,4,10,Champions,1,Organic Search
CUST00152,39,4,318.77,3,2,2,7,Potential Loyalists,3,Direct
CUST00153,161,3,96.44,1,1,1,3,Hibernating,3,Email
CUST00154,277,3,193.56,1,1,1,3,Hibernating,0,Email
CUST00155,212,7,378.43,1,4,2,7,Potential Loyalists,1,Social Media
CUST00156,10,5,418.18,4,3,2,9,Loyal Customers,1,Organic Search
CUST00157,35,4,536.63,3,2,3,8,Loyal Customers,1,Referral
CUST00158,256,4,384.19,1,2,2,5,At Risk,0,Organic Search
CUST00159,111,4,411.96999999999997,2,2,2,6,Potential Loyalists,3,Organic Search
CUST00160,51,3,223.24,3,1,1,5,At Risk,3,Direct
CUST00161,108,7,745.62,2,4,4,10,Champions,1,Organic Search
CUST00162,442,2,247.04,1,1,2,4,At Risk,0,Paid Search
CUST00163,1,5,1002.27,4,3,4,11,Champions,2,Email
CUST00164,40,2,286.92,3,1,2,6,Potential Loyalists,3,Referral
CUST00165,34,5,689.1500000000001,3,3,4,10,Champions,1,Organic Search
CUST00166,26,2,192.01,3,1,1,5,At Risk,3,Organic Search
CUST00167,52,3,230.63,3,1,1,5,At Risk,3,Organic Search
CUST00168,387,4,169.45999999999998,1,2,1,4,At Risk,0,Paid Search
CUST00169,23,4,365.13,4,2,2,8,Loyal Customers,3,Social Media
CUST00170,263,2,239.4,1,1,1,3,Hibernating,0,Email
CUST00171,432,1,90.04,1,1,1,3,Hibernating,0,Organic Search
CUST00172,140,5,567.5899999999999,2,3,3,8,Loyal Customers,1,Direct
CUST00173,3,2,160.8,4,1,1,6,Potential Loyalists,3,Email
CUST00174,200,5,221.89999999999998,1,3,1,5,At Risk,0,Paid Search
CUST00175,142,5,209.11,2,3,1,6,Potential Loyalists,3,Paid Search
CUST00176,143,7,647.9200000000001,2,4,3,9,Loyal Customers,1,Referral
CUST00177,26,4,177.0,3,2,1,6,Potential Loyalists,3,Email
CUST00178,63,4,178.66,2,2,1,5,At Risk,3,Paid Search
CUST00179,107,4,745.89,2,2,4,8,Loyal Customers,1,Organic Search
CUST00180,3,3,114.85,4,1,1,6,Potential Loyalists,3,Referral
CUST00181,284,4,395.85,1,2,2,5,At Risk,0,Social Media
CUST00182,12,3,332.95,4,1,2,7,Potential Loyalists,3,Social Media
CUST00183,24,4,645.96,3,2,3,8,Loyal Customers,1,Organic Search
CUST00184,142,5,332.11,2,3,2,7,Potential Loyalists,1,Organic Search
CUST00185,38,7,809.16,3,4,4,11,Champions,2,Paid Search
CUST00186,8,6,400.4,4,3,2,9,Loyal Customers,1,Social Media
CUST00187,58,2,263.06,2,1,2,5,At Risk,3,Organic Search
CUST00188,28,2,243.45,3,1,1,5,At Risk,3,Direct
CUST00189,212,3,161.03,1,1,1,3,Hibernating,0,Referral
CUST00190,161,3,343.74,1,1,2,4,At Risk,3,Organic Search
CUST00191,7,8,1005.9000000000001,4,4,4,12,Champions,2,Organic Search
CUST00192,32,2,200.37,3,1,1,5,At Risk,3,Direct
CUST00193,18,5,513.0500000000001,4,3,3,10,Champions,1,Social Media
CUST00194,13,4,321.26,4,2,2,8,Loyal Customers,3,Referral
CUST00195,46,3,276.56,3,1,2,6,Potential Loyalists,3,Referral
CUST00196,10,9,1025.97,4,4,4,12,Champions,2,Social Media
CUST00197,226,3,162.06,1,1,1,3,Hibernating,0,Social Media
CUST00198,38,3,333.19,3,1,2,6,Potential Loyalists,3,Paid Search
CUST00199,30,5,671.9300000000001,3,3,3,9,Loyal Customers,1,Organic Search
CUST00200,67,6,491.1,2,3,3,8,Loyal Customers,1,Organic Search
CUST00201,59,8,641.52,2,4,3,9,Loyal Customers,1,Email
CUST00202,221,3,396.97,1,1,2,4,At Risk,0,Organic Search
CUST00203,149,5,462.8,1,3,3,7,Potential Loyalists,1,Email
CUST00204,291,2,94.72,1,1,1,3,Hibernating,0,Organic Search
CUST00205,21,3,578.31,4,1,3,8,Loyal Customers,3,Direct
CUST00206,59,4,439.51,2,2,3,7,Potential Loyalists,3,Paid Search
CUST00207,12,5,743.66,4,3,4,11,Champions,1,Email
CUST00208,15,5,854.79,4,3,4,11,Champions,1,Organic Search
CUST00209,25,7,491.11,3,4,3,10,Champions,1,Direct
CUST00210,282,4,362.74,1,2,2,5,At Risk,0,Referral
CUST00211,29,6,463.95,3,3,3,9,Loyal Customers,1,Social Media
CUST00212,15,5,426.5,4,3,3,10,Champions,1,Paid Search
CUST00213,25,5,876.53,3,3,4,10,Champions,1,Organic Search
CUST00214,508,4,291.47,1,2,2,5,At Risk,0,Referral
CUST00215,56,5,879.1,2,3,4,9,Loyal Customers,1,Social Media
CUST00216,48,6,691.4300000000001,3,3,4,10,Champions,1,Paid Search
CUST00217,185,6,338.3,1,3,2,6,Potential Loyalists,1,Organic Search
CUST00218,57,3,237.37,2,1,1,4,At Risk,3,Direct
CUST00219,17,4,304.23,4,2,2,8,Loyal Customers,3,Social Media
CUST00220,61,4,467.65,2,2,3,7,Potential Loyalists,1,Paid Search
CUST00221,207,9,1006.2,1,4,4,9,Loyal Customers,2,Social Media
CUST00222,216,4,367.61,1,2,2,5,At Risk,0,Organic Search
CUST00223,36,4,262.68,3,2,2,7,Potential Loyalists,3,Organic Search
CUST00224,19,8,860.2099999999999,4,4,4,12,Champions,2,Direct
CUST00225,58,3,568.55,2,1,3,6,Potential Loyalists,3,Social Media
CUST00226,461,1,176.68,1,1,1,3,Hibernating,0,Referral
CUST00227,2,5,589.8299999999999,4,3,3,10,Champions,1,Email
CUST00228,274,3,310.47,1,1,2,4,At Risk,0,Organic Search
CUST00229,1,3,254.07999999999998,4,1,2,7,Potential Loyalists,3,Direct
CUST00230,30,6,566.56,3,3,3,9,Loyal Customers,1,Organic Search
CUST00231,56,5,574.16,2,3,3,8,Loyal Customers,1,Paid Search
CUST00233,36,4,374.03,3,2,2,7,Potential Loyalists,3,Paid Search
CUST00234,133,7,512.97,2,4,3,9,Loyal Customers,1,Paid Search
CUST00236,47,6,605.51,3,3,3,9,Loyal Customers,1,Paid Search
CUST00237,20,8,1224.26,4,4,4,12,Champions,2,Organic Search
CUST00238,26,5,752.72,3,3,4,10,Champions,1,Social Media
CUST00239,108,6,879.25,2,3,4,9,Loyal Customers,1,Referral
CUST00240,70,1,477.96,2,1,3,6,Potential Loyalists,3,Referral
CUST00241,48,7,452.98,3,4,3,10,Champions,1,Paid Search
CUST00242,61,4,321.0,2,2,2,6,Potential Loyalists,3,Social Media
CUST00243,398,2,529.66,1,1,3,5,At Risk,0,Organic Search
CUST00244,31,6,790.51,3,3,4,10,Champions,1,Paid Search
CUST00245,23,7,380.93,4,4,2,10,Champions,1,Social Media
CUST00246,262,2,168.85,1,1,1,3,Hibernating,0,Social Media
CUST00247,34,8,604.36,3,4,3,10,Champions,1,Referral
CUST00248,50,3,261.4,3,1,2,6,Potential Loyalists,3,Email
CUST00249,15,6,572.93,4,3,3,10,Champions,1,Email
CUST00250,26,7,1071.1599999999999,3,4,4,11,Champions,2,Social Media
CUST00251,51,4,363.97,3,2,2,7,Potential Loyalists,3,Email
CUST00252,297,2,313.15999999999997,1,1,2,4,At Risk,0,Email
CUST00253,45,5,482.02,3,3,3,9,Loyal Customers,1,Organic Search
CUST00254,187,4,407.93999999999994,1,2,2,5,At Risk,0,Social Media
CUST00255,171,7,685.01,1,4,4,9,Loyal Customers,1,Organic Search
CUST00256,56,4,392.09,2,2,2,6,Potential Loyalists,3,Organic Search
CUST00257,61,7,475.03000000000003,2,4,3,9,Loyal Customers,1,Organic Search
CUST00258,1,2,78.6,4,1,1,6,Potential Loyalists,3,Direct
CUST00259,300,5,542.4300000000001,1,3,3,7,Potential Loyalists,0,Paid Search
CUST00260,39,3,208.43,3,1,1,5,At Risk,3,Organic Search
CUST00261,50,1,631.98,3,1,3,7,Potential Loyalists,3,Social Media
CUST00262,74,7,566.65,2,4,3,9,Loyal Customers,1,Email
CUST00263,37,3,371.34000000000003,3,1,2,6,Potential Loyalists,3,Paid Search
CUST00264,292,1,189.86,1,1,1,3,Hibernating,0,Email
CUST00265,15,9,1125.8899999999999,4,4,4,12,Champions,2,Social Media
CUST00266,7,4,372.04999999999995,4,2,2,8,Loyal Customers,3,Organic Search
CUST00267,83,7,2070.68,2,4,4,10,Champions,2,Organic Search
CUST00268,14,3,150.69,4,1,1,6,Potential Loyalists,3,Paid Search
CUST00269,273,4,422.65999999999997,1,2,3,6,Potential Loyalists,0,Email
CUST00270,13,4,276.92,4,2,2,8,Loyal Customers,3,Email
CUST00271,25,3,256.29,3,1,2,6,Potential Loyalists,3,Social Media
CUST00272,63,3,136.39,2,1,1,4,At Risk,3,Social Media
CUST00273,247,5,1143.8899999999999,1,3,4,8,Loyal Customers,2,Email
CUST00274,195,3,168.72,1,1,1,3,Hibernating,0,Social Media
CUST00275,30,5,447.69000000000005,3,3,3,9,Loyal Customers,1,Social Media
CUST00276,191,2,204.43,1,1,1,3,Hibernating,0,Email
CUST00277,138,4,277.6,2,2,2,6,Potential Loyalists,3,Email
CUST00278,3,4,319.95,4,2,2,8,Loyal Customers,3,Paid Search
CUST00279,80,6,446.59999999999997,2,3,3,8,Loyal Customers,1,Email
CUST00280,324,2,63.91,1,1,1,3,Hibernating,0,Direct
CUST00281,117,3,274.94,2,1,2,5,At Risk,3,Email
CUST00282,52,5,481.66999999999996,3,3,3,9,Loyal Customers,1,Social Media
CUST00283,16,6,402.69,4,3,2,9,Loyal Customers,1,Direct
CUST00284,164,7,808.47,1,4,4,9,Loyal Customers,2,Referral
CUST00285,27,2,143.07999999999998,3,1,1,5,At Risk,3,Organic Search
CUST00286,239,4,416.16,1,2,2,5,At Risk,0,Direct
CUST00287,30,7,757.11,3,4,4,11,Champions,1,Organic Search
CUST00288,379,3,377.7,1,1,2,4,At Risk,0,Social Media
CUST00289,425,1,317.58,1,1,2,4,At Risk,0,Paid Search
CUST00290,14,6,365.62,4,3,2,9,Loyal Customers,1,Organic Search
CUST00291,253,5,551.6400000000001,1,3,3,7,Potential Loyalists,0,Social Media
CUST00292,96,2,180.47,2,1,1,4,At Risk,3,Social Media
CUST00293,11,6,420.35,4,3,2,9,Loyal Customers,1,Social Media
CUST00294,60,3,125.72,2,1,1,4,At Risk,3,Email
CUST00295,113,4,160.4,2,2,1,5,At Risk,3,Social Media
CUST00296,230,3,954.3800000000001,1,1,4,6,Potential Loyalists,0,Social Media
CUST00297,148,5,789.3000000000001,1,3,4,8,Loyal Customers,1,Organic Search
CUST00298,84,8,722.29,2,4,4,10,Champions,2,Organic Search
CUST00299,16,7,913.99,4,4,4,12,Champions,2,Organic Search
CUST00300,36,7,881.18,3,4,4,11,Champions,2,Organic Search
CUST00301,74,3,186.57999999999998,2,1,1,4,At Risk,3,Organic Search
CUST00302,14,4,770.79,4,2,4,10,Champions,1,Social Media
CUST00303,62,2,265.58,2,1,2,5,At Risk,3,Paid Search
CUST00304,81,1,37.06,2,1,1,4,At Risk,3,Referral
CUST00305,6,5,360.25,4,3,2,9,Loyal Customers,1,Organic Search
CUST00306,29,5,422.24,3,3,3,9,Loyal Customers,1,Social Media
CUST00307,33,2,221.9,3,1,1,5,At Risk,3,Paid Search
CUST00308,14,8,769.1899999999999,4,4,4,12,Champions,2,Referral
CUST00309,34,4,207.78,3,2,1,6,Potential Loyalists,3,Paid Search
CUST00310,20,8,1831.44,4,4,4,12,Champions,2,Paid Search
CUST00311,52,6,552.0500000000001,3,3,3,9,Loyal Customers,1,Organic Search
CUST00312,35,3,121.47,3,1,1,5,At Risk,3,Organic Search
CUST00313,5,6,681.92,4,3,4,11,Champions,1,Organic Search
CUST00314,228,4,272.76,1,2,2,5,At Risk,0,Paid Search
CUST00315,20,4,472.69,4,2,3,9,Loyal Customers,1,Email
CUST00316,19,4,539.08,4,2,3,9,Loyal Customers,1,Email
CUST00317,286,7,790.52,1,4,4,9,Loyal Customers,1,Referral
CUST00318,90,4,270.12,2,2,2,6,Potential Loyalists,3,Referral
CUST00319,100,4,781.7,2,2,4,8,Loyal Customers,1,Social Media
CUST00320,22,5,299.64,4,3,2,9,Loyal Customers,1,Direct
CUST00321,366,1,88.91,1,1,1,3,Hibernating,0,Email
CUST00322,255,4,437.66999999999996,1,2,3,6,Potential Loyalists,0,Social Media
CUST00323,21,4,525.14,4,2,3,9,Loyal Customers,1,Email
CUST00324,137,4,882.36,2,2,4,8,Loyal Customers,1,Social Media
CUST00325,47,5,1155.22,3,3,4,10,Champions,2,Email
CUST00326,47,3,185.44,3,1,1,5,At Risk,3,Social Media
CUST00327,79,3,120.6,2,1,1,4,At Risk,3,Organic Search
CUST00328,68,3,261.6,2,1,2,5,At Risk,3,Paid Search
CUST00329,270,4,739.94,1,2,4,7,Potential Loyalists,0,Organic Search
CUST00330,86,3,99.04,2,1,1,4,At Risk,3,Social Media
CUST00331,1,6,876.69,4,3,4,11,Champions,1,Social Media
CUST00332,28,8,1143.94,3,4,4,11,Champions,2,Paid Search
CUST00333,61,7,569.51,2,4,3,9,Loyal Customers,1,Email
CUST00334,57,3,528.19,2,1,3,6,Potential Loyalists,3,Organic Search
CUST00335,3,6,674.17,4,3,3,10,Champions,1,Organic Search
CUST00336,426,3,283.44,1,1,2,4,At Risk,0,Referral
CUST00337,213,3,333.49,1,1,2,4,At Risk,0,Social Media
CUST00338,10,5,359.1,4,3,2,9,Loyal Customers,1,Social Media
CUST00339,363,2,227.62,1,1,1,3,Hibernating,0,Social Media
CUST00340,28,4,157.54,3,2,1,6,Potential Loyalists,3,Referral
CUST00341,114,4,549.97,2,2,3,7,Potential Loyalists,1,Direct
CUST00342,140,2,129.63,2,1,1,4,At Risk,3,Paid Search
CUST00343,13,3,337.53,4,1,2,7,Potential Loyalists,3,Social Media
CUST00344,18,9,1113.68,4,4,4,12,Champions,2,Email
CUST00345,300,5,448.87,1,3,3,7,Potential Loyalists,0,Paid Search
CUST00346,10,9,945.77,4,4,4,12,Champions,2,Organic Search
CUST00347,225,5,282.2,1,3,2,6,Potential Loyalists,0,Email
CUST00348,14,5,348.3,4,3,2,9,Loyal Customers,1,Social Media
CUST00349,219,7,336.96000000000004,1,4,2,7,Potential Loyalists,1,Direct
CUST00350,63,8,746.82,2,4,4,10,Champions,2,Paid Search
CUST00351,59,4,163.01,2,2,1,5,At Risk,3,Organic Search
CUST00352,183,5,1151.9199999999998,1,3,4,8,Loyal Customers,2,Paid Search
CUST00353,82,3,172.39,2,1,1,4,At Risk,3,Paid Search
CUST00354,236,4,525.11,1,2,3,6,Potential Loyalists,0,Organic Search
CUST00355,46,5,982.4100000000001,3,3,4,10,Champions,2,Organic Search
CUST00356,107,7,443.98,2,4,3,9,Loyal Customers,1,Organic Search
CUST00357,24,6,544.4300000000001,3,3,3,9,Loyal Customers,1,Organic Search
CUST00358,6,7,503.67,4,4,3,11,Champions,1,Email
CUST00359,192,7,860.6899999999999,1,4,4,9,Loyal Customers,2,Social Media
CUST00360,113,4,353.78,2,2,2,6,Potential Loyalists,3,Email
CUST00361,65,4,274.89,2,2,2,6,Potential Loyalists,3,Social Media
CUST00362,144,1,22.15,1,1,1,3,Hibernating,3,Paid Search
CUST00363,148,3,505.89,1,1,3,5,At Risk,3,Organic Search
CUST00364,377,1,14.4,1,1,1,3,Hibernating,0,Direct
CUST00365,41,5,385.18,3,3,2,8,Loyal Customers,1,Email
CUST00366,496,1,117.14,1,1,1,3,Hibernating,0,Paid Search
CUST00367,14,2,92.25,4,1,1,6,Potential Loyalists,3,Organic Search
CUST00368,124,2,139.22,2,1,1,4,At Risk,3,Referral
CUST00369,24,5,330.2,3,3,2,8,Loyal Customers,1,Social Media
CUST00370,57,2,48.42,2,1,1,4,At Risk,3,Social Media
CUST00371,144,6,962.56,1,3,4,8,Loyal Customers,2,Organic Search
CUST00372,121,6,596.75,2,3,3,8,Loyal Customers,1,Organic Search
CUST00373,1,7,903.2,4,4,4,12,Champions,2,Paid Search
CUST00374,49,6,1035.81,3,3,4,10,Champions,2,Referral
CUST00375,5,6,620.86,4,3,3,10,Champions,1,Organic Search
CUST00376,129,4,163.18,2,2,1,5,At Risk,3,Paid Search
CUST00377,51,5,778.99,3,3,4,10,Champions,1,Email
CUST00378,176,4,238.06,1,2,1,4,At Risk,3,Direct
CUST00379,33,6,939.72,3,3,4,10,Champions,2,Social Media
CUST00380,5,6,876.81,4,3,4,11,Champions,1,Email
CUST00381,46,5,488.20000000000005,3,3,3,9,Loyal Customers,1,Direct
CUST00382,19,4,613.4000000000001,4,2,3,9,Loyal Customers,1,Social Media
CUST00383,59,3,976.9499999999999,2,1,4,7,Potential Loyalists,1,Social Media
CUST00384,96,2,70.79,2,1,1,4,At Risk,3,Organic Search
CUST00385,28,5,260.32,3,3,2,8,Loyal Customers,1,Email
CUST00386,4,3,357.72,4,1,2,7,Potential Loyalists,3,Direct
