order_id,customer_id,order_date,category,product_name,unit_price,quantity,discount_pct,gross_amount,shipping_cost,net_revenue,marketing_channel,payment_method,region,customer_segment,returned,review_score,has_review,order_month,cohort_month,cohort_index,recency,frequency,monetary,segment,cluster
ORD117051,CUST00901,2023-09-16,Apparel,Graphic Tee,88.68,1,5,88.68,10.46,84.25,Paid Search,Debit Card,North America,New,False,1.0,True,2023-09,2023-09,0,456,4,459.64,Potential Loyalists,0
ORD113698,CUST01962,2024-09-29,Beauty & Personal Care,Face Serum,49.97,1,15,49.97,8.84,42.47,Direct,Credit Card,North America,Returning,False,,False,2024-09,2024-09,0,56,8,1115.05,Champions,2
ORD117213,CUST03609,2024-08-23,Beauty & Personal Care,Face Serum,35.66,1,0,35.66,7.9,35.66,Paid Search,PayPal,North America,Returning,False,4.0,True,2024-08,2024-08,0,131,4,356.64,Potential Loyalists,3
ORD112924,CUST04187,2024-05-06,Electronics,Phone Case,151.52,1,10,151.52,6.63,136.37,Social Media,Credit Card,Europe,New,True,3.0,True,2024-05,2024-04,1,92,9,1799.3300000000002,Champions,2
ORD104246,CUST00730,2024-05-30,Apparel,Denim Jacket,87.48,1,0,87.48,4.32,87.48,Social Media,Credit Card,Middle East & Africa,New,False,,False,2024-05,2024-05,0,171,2,118.51,Hibernating,3
ORD101288,CUST00215,2023-12-14,Office Supplies,Wireless Mouse,31.3,4,5,125.2,8.32,118.94,Organic Search,Credit Card,North America,New,False,1.0,True,2023-12,2023-11,1,56,5,879.1,Loyal Customers,1
ORD115443,CUST02139,2024-12-18,Sports & Outdoors,Yoga Mat,24.5,1,15,24.5,7.19,20.82,Direct,Credit Card,Asia Pacific,New,False,,False,2024-12,2023-05,19,14,7,1077.69,Champions,2
ORD101299,CUST03655,2023-12-13,Beauty & Personal Care,Face Serum,61.53,1,25,61.53,3.06,46.15,Direct,Credit Card,North America,Returning,False,1.0,True,2023-12,2023-10,2,13,8,1089.93,Champions,2
ORD109765,CUST02654,2024-01-28,Apparel,Wool Sweater,81.78,4,0,327.12,6.69,327.12,Organic Search,Credit Card,Europe,New,False,4.0,True,2024-01,2023-12,1,24,4,598.14,Loyal Customers,1
ORD108439,CUST02412,2023-11-05,Toys & Games,Building Blocks Set,13.61,1,10,13.61,11.89,12.25,Email,Credit Card,Asia Pacific,New,False,1.0,True,2023-11,2023-10,1,11,7,1143.3,Champions,2
ORD109698,CUST03795,2024-08-17,Office Supplies,Desk Organizer,72.0,1,0,72.0,5.41,72.0,Paid Search,Buy Now Pay Later,North America,VIP,False,5.0,True,2024-08,2023-10,10,28,4,213.52,Potential Loyalists,3
ORD108808,CUST02228,2023-12-27,Electronics,Phone Case,73.47,1,0,73.47,8.68,73.47,Paid Search,Credit Card,North America,VIP,False,,False,2023-12,2023-05,7,102,4,277.19,Potential Loyalists,3
ORD111675,CUST03880,2024-01-19,Home & Kitchen,Knife Set,60.65,3,0,181.95,3.97,181.95,Direct,Credit Card,Asia Pacific,New,False,,False,2024-01,2024-01,0,289,3,356.9,At Risk,0
ORD100802,CUST00724,2024-08-27,Apparel,Graphic Tee,74.86,1,25,74.86,10.76,56.14,Paid Search,Credit Card,Asia Pacific,New,False,4.0,True,2024-08,2024-08,0,38,9,593.18,Champions,1
ORD117885,CUST00603,2024-05-08,Sports & Outdoors,Yoga Mat,20.59,1,15,20.59,7.64,17.5,Paid Search,Credit Card,North America,Returning,False,3.0,True,2024-05,2024-04,1,107,5,345.2,Potential Loyalists,1
ORD106046,CUST00918,2023-05-11,Sports & Outdoors,Water Bottle,147.23,1,25,147.23,6.01,110.42,Organic Search,Credit Card,Asia Pacific,Returning,False,4.0,True,2023-05,2023-05,0,11,5,439.59000000000003,Champions,1
ORD100878,CUST03726,2024-05-07,Sports & Outdoors,Yoga Mat,108.25,1,0,108.25,2.56,108.25,Social Media,Buy Now Pay Later,Middle East & Africa,VIP,False,4.0,True,2024-05,2024-05,0,5,3,339.36,Loyal Customers,3
ORD106479,CUST00454,2024-10-16,Toys & Games,Plush Toy,31.67,1,20,31.67,7.57,25.34,Direct,Credit Card,Europe,New,False,3.0,True,2024-10,2023-07,15,77,5,237.51,Potential Loyalists,1
ORD109178,CUST01068,2024-04-06,Sports & Outdoors,Camping Tent,87.85,1,15,87.85,8.15,74.67,Paid Search,Gift Card,North America,Returning,False,5.0,True,2024-04,2024-02,2,12,6,565.47,Champions,1
ORD102600,CUST01382,2023-09-03,Toys & Games,Board Game,39.38,1,5,39.38,7.19,37.41,Social Media,Debit Card,Asia Pacific,New,False,1.0,True,2023-09,2023-09,0,222,4,258.79,At Risk,0
ORD110200,CUST04128,2023-09-19,Toys & Games,Board Game,34.62,2,10,69.24,10.67,62.32,Paid Search,Credit Card,Asia Pacific,Returning,False,,False,2023-09,2023-04,5,101,6,467.34,Loyal Customers,1
ORD114839,CUST03856,2023-10-21,Toys & Games,Plush Toy,13.97,1,0,13.97,7.31,13.97,Paid Search,Credit Card,Europe,New,False,3.0,True,2023-10,2023-10,0,11,5,766.21,Champions,1
ORD117679,CUST03274,2023-03-04,Sports & Outdoors,Resistance Bands,87.3,1,5,87.3,7.25,82.93,Social Media,Credit Card,North America,VIP,False,4.0,True,2023-03,2023-03,0,22,5,522.96,Champions,1
ORD115822,CUST03810,2024-05-05,Apparel,Rain Jacket,73.8,1,10,73.8,9.56,66.42,Organic Search,Buy Now Pay Later,North America,Returning,True,,False,2024-05,2023-12,5,12,6,600.08,Champions,1
ORD114646,CUST02853,2023-12-25,Toys & Games,Board Game,8.89,2,5,17.78,6.57,16.89,Referral,Credit Card,Europe,VIP,False,,False,2023-12,2023-09,3,283,4,370.33,Potential Loyalists,0
ORD111195,CUST00113,2024-12-20,Home & Kitchen,Storage Bins,32.51,3,20,97.53,8.82,78.02,Email,Credit Card,North America,Returning,False,4.0,True,2024-12,2023-12,12,12,3,297.28999999999996,Potential Loyalists,3
ORD100485,CUST01657,2024-04-23,Electronics,Bluetooth Speaker,96.09,1,5,96.09,3.8,91.29,Paid Search,Debit Card,Europe,New,False,3.0,True,2024-04,2024-04,0,12,7,1063.73,Champions,2
ORD113569,CUST04037,2024-12-04,Apparel,Yoga Pants,53.92,1,5,53.92,7.29,51.22,Social Media,Gift Card,Latin America,New,False,4.0,True,2024-12,2024-08,4,28,7,328.86,Loyal Customers,1
ORD112187,CUST04187,2024-10-01,Toys & Games,RC Car,37.35,1,0,37.35,9.37,37.35,Email,Credit Card,Europe,New,False,,False,2024-10,2024-04,6,92,9,1799.3300000000002,Champions,2
ORD112850,CUST03842,2023-03-24,Sports & Outdoors,Water Bottle,45.22,1,15,45.22,10.56,38.44,Social Media,Debit Card,North America,VIP,False,5.0,True,2023-03,2023-03,0,105,7,313.93,Loyal Customers,1
ORD111022,CUST00590,2024-05-31,Electronics,USB-C Hub,187.44,1,15,187.44,9.87,159.32,Paid Search,PayPal,North America,New,False,2.0,True,2024-05,2023-03,14,4,6,627.0899999999999,Champions,1
ORD116325,CUST00331,2024-12-31,Beauty & Personal Care,Hair Dryer,22.93,2,5,45.86,7.04,43.57,Organic Search,Credit Card,North America,New,False,2.0,True,2024-12,2023-07,17,1,6,876.69,Champions,1
ORD113603,CUST01733,2023-08-03,Sports & Outdoors,Hiking Backpack,79.69,1,15,79.69,7.25,67.74,Social Media,Credit Card,North America,VIP,False,2.0,True,2023-08,2023-08,0,42,3,340.46999999999997,Potential Loyalists,3
ORD109048,CUST00971,2024-09-23,Sports & Outdoors,Water Bottle,144.34,1,5,144.34,4.66,137.12,Social Media,PayPal,North America,Returning,False,5.0,True,2024-09,2024-09,0,44,5,432.91999999999996,Loyal Customers,1
ORD107734,CUST03521,2023-12-25,Apparel,Yoga Pants,75.02,2,0,150.04,4.03,150.04,Paid Search,PayPal,North America,New,False,5.0,True,2023-12,2023-12,0,33,2,200.38,At Risk,3
ORD112182,CUST03933,2024-11-01,Sports & Outdoors,Water Bottle,80.54,1,15,80.54,7.31,68.46,Referral,Credit Card,Europe,Returning,False,,False,2024-11,2024-10,1,59,3,133.01,At Risk,3
ORD110844,CUST03783,2023-10-06,Office Supplies,Ergonomic Chair,61.58,1,0,61.58,2.58,61.58,Referral,Credit Card,North America,New,False,3.0,True,2023-10,2023-09,1,157,6,880.21,Loyal Customers,1
ORD110589,CUST03289,2024-10-05,Office Supplies,Whiteboard,179.41,4,15,717.64,11.53,609.99,Email,Credit Card,North America,VIP,False,,False,2024-10,2024-09,1,25,6,1016.36,Champions,2
ORD115000,CUST04170,2024-11-03,Apparel,Wool Sweater,79.26,2,0,158.52,7.29,158.52,Organic Search,Debit Card,Latin America,New,False,2.0,True,2024-11,2023-11,12,37,8,1119.5700000000002,Champions,2
ORD117791,CUST02163,2024-06-05,Home & Kitchen,Air Fryer,53.08,1,5,53.08,7.48,50.43,Organic Search,Credit Card,Middle East & Africa,Returning,False,,False,2024-06,2024-04,2,47,8,511.68,Champions,1
ORD105419,CUST04157,2024-05-24,Office Supplies,Ergonomic Chair,113.16,4,10,452.64,9.72,407.38,Organic Search,Debit Card,North America,New,False,2.0,True,2024-05,2024-05,0,48,5,780.06,Champions,1
ORD111710,CUST03862,2023-10-13,Office Supplies,Whiteboard,11.58,1,0,11.58,7.19,11.58,Social Media,Debit Card,Asia Pacific,New,False,1.0,True,2023-10,2023-09,1,355,3,102.71000000000001,At Risk,0
ORD105248,CUST00204,2023-11-15,Sports & Outdoors,Water Bottle,59.34,1,5,59.34,7.19,56.37,Organic Search,Credit Card,Asia Pacific,VIP,False,,False,2023-11,2023-11,0,291,2,94.72,Hibernating,0
ORD102139,CUST03557,2024-11-15,Home & Kitchen,Air Fryer,42.39,4,10,169.56,8.15,152.6,Email,PayPal,Asia Pacific,New,False,,False,2024-11,2023-08,15,47,7,607.79,Champions,1
ORD113823,CUST02453,2023-12-08,Office Supplies,Wireless Mouse,162.62,1,10,162.62,9.79,146.36,Organic Search,Buy Now Pay Later,Asia Pacific,Unknown,False,2.0,True,2023-12,2023-08,4,11,13,1110.34,Champions,2
ORD111701,CUST01332,2024-11-17,Home & Kitchen,Storage Bins,96.79,1,0,96.79,2.78,96.79,Email,Gift Card,Asia Pacific,VIP,False,,False,2024-11,2024-09,2,8,7,1395.17,Champions,2
ORD106740,CUST03960,2023-05-11,Beauty & Personal Care,Face Serum,20.63,2,0,41.26,2.95,41.26,Organic Search,PayPal,Europe,Returning,False,5.0,True,2023-05,2023-05,0,3,5,421.01,Loyal Customers,1
ORD116780,CUST03775,2024-07-22,Home & Kitchen,Storage Bins,111.84,1,30,111.84,10.35,78.29,Organic Search,PayPal,North America,Returning,False,5.0,True,2024-07,2024-05,2,163,2,96.0,Hibernating,3
ORD110967,CUST00392,2024-07-01,Electronics,Laptop Stand,146.54,2,20,293.08,4.77,234.46,Social Media,PayPal,North America,VIP,False,2.0,True,2024-07,2023-09,10,15,8,791.74,Champions,2
ORD101458,CUST03916,2024-11-28,Sports & Outdoors,Water Bottle,67.89,1,20,67.89,9.57,54.31,Paid Search,Credit Card,North America,Returning,False,4.0,True,2024-11,2024-09,2,34,3,144.16,Potential Loyalists,3
ORD104036,CUST00947,2024-07-26,Apparel,Graphic Tee,51.39,1,0,51.39,3.01,51.39,Social Media,Credit Card,Europe,New,False,,False,2024-07,2024-07,0,50,9,827.43,Champions,2
ORD116408,CUST03870,2024-10-15,Apparel,Wool Sweater,86.21,3,0,258.63,5.1,258.63,Paid Search,Credit Card,North America,New,False,,False,2024-10,2024-09,1,72,5,876.6999999999999,Loyal Customers,1
ORD114373,CUST02179,2024-05-02,Office Supplies,Whiteboard,208.61,1,10,208.61,7.75,187.75,Social Media,PayPal,North America,VIP,False,,False,2024-05,2024-04,1,9,6,516.4300000000001,Champions,1
ORD114608,CUST02102,2023-12-28,Toys & Games,Puzzle 1000pc,10.76,1,15,10.76,7.31,9.15,Paid Search,Credit Card,Europe,Returning,False,5.0,True,2023-12,2023-05,7,143,3,111.37,At Risk,3
ORD103588,CUST00851,2023-10-25,Electronics,Phone Case,81.23,1,5,81.23,7.19,77.17,Organic Search,Credit Card,Asia Pacific,Returning,False,4.0,True,2023-10,2023-10,0,12,10,1623.3,Champions,2
ORD109143,CUST02318,2024-11-21,Apparel,Running Shoes,34.92,1,0,34.92,7.58,34.92,Social Media,PayPal,North America,VIP,False,5.0,True,2024-11,2024-08,3,41,4,315.84000000000003,Potential Loyalists,3
ORD105025,CUST02060,2024-03-18,Home & Kitchen,Throw Blanket,163.27,1,15,163.27,5.76,138.78,Organic Search,Credit Card,North America,Returning,False,,False,2024-03,2024-03,0,8,10,1657.01,Champions,2
ORD100483,CUST01970,2024-03-19,Office Supplies,Notebook Set,222.16,4,5,888.64,4.62,844.21,Organic Search,Credit Card,North America,New,False,3.0,True,2024-03,2024-03,0,22,4,1360.2,Champions,2
ORD101389,CUST01244,2024-01-25,Beauty & Personal Care,Makeup Palette,44.35,4,15,177.4,7.75,150.79,Paid Search,Credit Card,Europe,New,False,,False,2024-01,2024-01,0,342,5,902.87,Loyal Customers,0
ORD104332,CUST01345,2024-07-07,Office Supplies,Ergonomic Chair,69.93,2,15,139.86,8.77,118.88,Paid Search,Credit Card,North America,New,False,4.0,True,2024-07,2024-02,5,42,5,288.07,Loyal Customers,1
ORD101161,CUST01550,2024-11-18,Toys & Games,RC Car,50.8,1,0,50.8,3.7,50.8,Email,Credit Card,North America,VIP,False,5.0,True,2024-11,2023-09,14,15,3,142.96,Potential Loyalists,3
ORD101892,CUST00300,2023-09-27,Home & Kitchen,Knife Set,155.92,1,0,155.92,9.04,155.92,Social Media,Debit Card,Latin America,New,False,,False,2023-09,2023-04,5,36,7,881.18,Champions,2
ORD103179,CUST04071,2023-12-25,Toys & Games,Plush Toy,30.28,1,25,30.28,4.23,22.71,Email,Credit Card,Europe,New,False,4.0,True,2023-12,2023-11,1,13,6,448.43,Champions,1
ORD102587,CUST02728,2024-05-26,Office Supplies,Ergonomic Chair,211.63,2,10,423.26,9.1,380.93,Email,Credit Card,Asia Pacific,Returning,False,,False,2024-05,2023-11,6,220,3,654.29,Potential Loyalists,0
ORD100805,CUST03441,2024-09-30,Beauty & Personal Care,Hair Dryer,57.08,1,5,57.08,10.42,54.23,Direct,Buy Now Pay Later,Latin America,New,False,,False,2024-09,2023-11,10,51,5,757.77,Champions,1
ORD112342,CUST01390,2023-11-15,Home & Kitchen,Desk Lamp,177.83,4,0,711.32,9.95,711.32,Referral,Credit Card,Asia Pacific,Returning,False,,False,2023-11,2023-11,0,338,4,1214.66,Potential Loyalists,0
ORD103439,CUST03280,2023-10-20,Beauty & Personal Care,Makeup Palette,49.85,4,0,199.4,8.34,199.4,Social Media,Debit Card,Asia Pacific,Returning,False,,False,2023-10,2023-07,3,31,6,510.58000000000004,Champions,1
ORD109244,CUST02546,2024-02-14,Apparel,Wool Sweater,62.69,1,10,62.69,7.25,56.42,Direct,Debit Card,North America,New,False,,False,2024-02,2023-06,8,322,6,361.53,Potential Loyalists,0
ORD112813,CUST00682,2024-04-03,Office Supplies,Notebook Set,252.79,1,0,252.79,11.97,252.79,Paid Search,Buy Now Pay Later,Asia Pacific,VIP,False,,False,2024-04,2023-06,10,237,6,929.9599999999999,Loyal Customers,2
ORD115900,CUST01615,2023-08-01,Apparel,Wool Sweater,27.08,1,0,27.08,5.74,27.08,Direct,Debit Card,Europe,Returning,False,3.0,True,2023-08,2023-07,1,191,7,865.8199999999999,Loyal Customers,2
ORD111089,CUST00838,2024-05-06,Toys & Games,Puzzle 1000pc,17.62,1,0,17.62,2.59,17.62,Email,Debit Card,North America,Returning,False,5.0,True,2024-05,2024-02,3,91,10,805.87,Champions,2
ORD100665,CUST00185,2024-11-24,Office Supplies,Ergonomic Chair,71.82,2,0,143.64,7.25,143.64,Organic Search,Credit Card,North America,Returning,False,2.0,True,2024-11,2023-02,21,38,7,809.16,Champions,2
ORD113019,CUST02833,2024-10-31,Home & Kitchen,Air Fryer,16.24,4,5,64.96,5.07,61.71,Referral,Credit Card,North America,New,False,,False,2024-10,2024-04,6,46,8,914.79,Champions,2
ORD116126,CUST03805,2023-12-14,Office Supplies,Ergonomic Chair,31.81,1,20,31.81,8.74,25.45,Referral,Debit Card,North America,New,False,,False,2023-12,2023-12,0,51,5,344.8,Loyal Customers,1
ORD116804,CUST01406,2024-08-14,Home & Kitchen,Coffee Maker,105.07,1,0,105.07,10.45,105.07,Email,PayPal,Europe,New,False,,False,2024-08,2024-08,0,85,4,310.92,Potential Loyalists,3
ORD102015,CUST01477,2023-12-29,Toys & Games,Puzzle 1000pc,35.34,1,15,35.34,4.07,30.04,Social Media,Credit Card,North America,New,False,2.0,True,2023-12,2023-12,0,323,5,264.98,Potential Loyalists,0
ORD116844,CUST03686,2024-03-12,Sports & Outdoors,Camping Tent,17.72,4,0,70.88,5.77,70.88,Paid Search,Buy Now Pay Later,North America,New,False,2.0,True,2024-03,2024-02,1,31,7,646.52,Champions,1
ORD108352,CUST01944,2024-09-08,Home & Kitchen,Throw Blanket,129.68,4,0,518.72,2.59,518.72,Paid Search,PayPal,Europe,New,True,1.0,True,2024-09,2024-02,7,3,6,821.08,Champions,1
ORD105001,CUST03024,2024-06-06,Apparel,Rain Jacket,67.9,4,30,271.6,6.13,190.12,Referral,Debit Card,Europe,Returning,False,3.0,True,2024-06,2023-07,11,209,2,198.8,Hibernating,0
ORD113135,CUST00071,2024-10-22,Apparel,Yoga Pants,16.62,1,15,16.62,7.31,14.13,Social Media,Credit Card,Europe,New,False,,False,2024-10,2024-10,0,68,2,99.25,At Risk,3
ORD102293,CUST02627,2024-06-01,Home & Kitchen,Knife Set,154.36,2,0,308.72,5.1,308.72,Email,Credit Card,North America,Returning,False,4.0,True,2024-06,2023-04,14,214,4,519.49,Potential Loyalists,0
ORD105786,CUST00493,2024-12-22,Apparel,Running Shoes,62.2,1,15,62.2,11.95,52.87,Organic Search,Credit Card,Europe,New,False,1.0,True,2024-12,2024-10,2,10,5,298.98,Loyal Customers,1
ORD106968,CUST00664,2024-01-12,Beauty & Personal Care,Electric Toothbrush,40.47,1,25,40.47,5.79,30.35,Direct,PayPal,Europe,New,False,5.0,True,2024-01,2023-12,1,168,4,108.98,At Risk,3
ORD104362,CUST03486,2023-12-20,Sports & Outdoors,Camping Tent,79.02,1,0,79.02,2.67,79.02,Direct,Buy Now Pay Later,Asia Pacific,Returning,True,3.0,True,2023-12,2023-11,1,64,4,247.35,Potential Loyalists,3
ORD100519,CUST00658,2024-01-02,Sports & Outdoors,Water Bottle,131.61,4,20,526.44,3.14,421.15,Social Media,Credit Card,Asia Pacific,Returning,False,1.0,True,2024-01,2023-02,11,41,5,827.3,Champions,1
ORD116684,CUST02674,2024-06-09,Beauty & Personal Care,Makeup Palette,40.9,2,10,81.8,7.31,73.62,Paid Search,Debit Card,Europe,Returning,True,,False,2024-06,2024-05,1,2,12,1390.4,Champions,2
ORD107241,CUST04013,2024-07-06,Office Supplies,Ergonomic Chair,30.09,2,20,60.18,7.19,48.14,Social Media,Debit Card,Asia Pacific,New,False,1.0,True,2024-07,2024-06,1,2,9,1163.82,Champions,2
ORD112513,CUST03661,2024-07-21,Office Supplies,Ergonomic Chair,178.95,1,0,178.95,5.18,178.95,Organic Search,Debit Card,North America,New,False,,False,2024-07,2024-01,6,164,4,387.99,Potential Loyalists,3
ORD104979,CUST04152,2024-11-17,Home & Kitchen,Knife Set,76.82,1,30,76.82,2.89,53.77,Email,Credit Card,North America,New,False,5.0,True,2024-11,2024-11,0,43,6,929.63,Champions,2
ORD117638,CUST00671,2024-10-17,Home & Kitchen,Air Fryer,116.02,4,5,464.08,7.19,440.88,Organic Search,Credit Card,Asia Pacific,New,False,5.0,True,2024-10,2023-06,16,50,6,1234.62,Champions,2
ORD106600,CUST03631,2023-06-17,Office Supplies,Wireless Mouse,90.18,4,20,360.72,4.36,288.58,Paid Search,Credit Card,North America,New,False,,False,2023-06,2023-06,0,33,5,504.4,Loyal Customers,1
ORD108627,CUST03962,2024-08-07,Toys & Games,Puzzle 1000pc,48.8,1,5,48.8,5.25,46.36,Direct,Credit Card,North America,Returning,False,,False,2024-08,2024-08,0,125,7,1131.15,Champions,2
ORD102335,CUST01287,2024-08-21,Sports & Outdoors,Hiking Backpack,144.91,1,0,144.91,4.75,144.91,Organic Search,PayPal,Europe,New,False,1.0,True,2024-08,2024-04,4,133,7,511.85,Loyal Customers,1
ORD104649,CUST00224,2024-10-12,Apparel,Running Shoes,79.32,4,0,317.28,6.11,317.28,Direct,Credit Card,Europe,Returning,False,4.0,True,2024-10,2024-07,3,19,8,860.2099999999999,Champions,2
